Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab,Banda ancha fija,Dial up,ADSL,Cablemodem,Fibra óptica,Wireless,Otras tecnologias,Mbps (Media de bajada),HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otras velocidades,Total accesos
2021,4,Entre Ríos,63.16,18.88,265024,22.0,70459.0,133387.0,23452.0,25022.0,12726.0,33.32,107.0,3024.0,56043.0,49636.0,38295.0,24068.0,77290.0,16583.0,265046.0
2021,4,Formosa,34.45,8.77,53663,0.0,17211.0,15111.0,5151.0,16018.0,172.0,28.76,84.0,0.0,22908.0,6983.0,6811.0,1135.0,13775.0,1967.0,53663.0
2021,4,Jujuy,56.92,14.56,113915,0.0,22330.0,60511.0,24156.0,2927.0,3991.0,27.14,58.0,175.0,22446.0,16793.0,38134.0,564.0,33421.0,2324.0,113915.0
2021,4,La Pampa,89.57,29.51,106834,173.0,8175.0,58000.0,20192.0,19286.0,1354.0,13.85,301.0,493.0,64840.0,9082.0,12259.0,4821.0,12184.0,3027.0,107007.0
2021,4,La Rioja,77.92,20.74,83124,4.0,10387.0,56651.0,9446.0,6613.0,31.0,39.7,18.0,1.0,5018.0,5437.0,23559.0,5671.0,43424.0,0.0,83128.0
2021,4,Mendoza,47.51,13.26,266783,804.0,59842.0,71553.0,109667.0,24666.0,1859.0,22.23,156.0,1463.0,66428.0,30308.0,75214.0,18621.0,75031.0,366.0,267587.0
2021,4,Misiones,49.06,13.36,171132,0.0,41778.0,92068.0,22035.0,7649.0,7602.0,38.9,51.0,5.0,41916.0,23554.0,26721.0,15954.0,54596.0,8335.0,171132.0
2021,4,Neuquén,73.3,21.82,146989,477.0,29175.0,72761.0,23253.0,21531.0,746.0,40.09,140.0,940.0,42313.0,13264.0,10515.0,3310.0,69217.0,7767.0,147466.0
2021,4,Río Negro,65.69,20.21,153189,564.0,42037.0,44495.0,32212.0,16558.0,18451.0,27.2,156.0,1174.0,38373.0,19878.0,31255.0,4130.0,36142.0,22645.0,153753.0
2021,4,Salta,56.81,13.76,199399,6.0,46972.0,99808.0,39555.0,5882.0,7188.0,33.94,114.0,20.0,40673.0,69324.0,6642.0,3535.0,72622.0,6475.0,199405.0
2021,4,San Juan,39.59,10.08,79667,291.0,35868.0,13102.0,11072.0,11423.0,8493.0,11.05,44.0,1442.0,28906.0,10955.0,23978.0,398.0,9800.0,4435.0,79958.0
2021,4,San Luis,80.3,22.98,118662,187.0,8472.0,11064.0,30.0,70560.0,28723.0,20.91,62.0,264.0,8550.0,4276.0,9107.0,67363.0,9.0,29218.0,118849.0
2021,4,Santa Cruz,43.05,12.81,48276,210.0,10790.0,22902.0,10031.0,4346.0,417.0,8.99,52.0,297.0,20305.0,11641.0,13054.0,1770.0,876.0,491.0,48486.0
2021,4,Santa Fe,77.09,24.24,866265,176.0,233427.0,444373.0,128856.0,43556.0,16229.0,36.02,467.0,581.0,169706.0,206856.0,85690.0,62349.0,322015.0,18777.0,866441.0
2021,4,Santiago Del Estero,47.05,11.68,115859,2.0,19032.0,86563.0,1088.0,6256.0,2922.0,13.84,178.0,909.0,31915.0,61524.0,12205.0,800.0,7537.0,793.0,115861.0
2021,4,Tierra Del Fuego,98.4,29.17,52042,315.0,13317.0,38148.0,426.0,124.0,342.0,10.7,26.0,385.0,13505.0,16534.0,16562.0,1748.0,1017.0,2580.0,52357.0
2021,4,Tucumán,55.93,13.85,238609,30.0,97830.0,59022.0,78790.0,2511.0,486.0,45.15,39.0,97.0,37321.0,48736.0,21023.0,5326.0,125857.0,240.0,238639.0
2021,3,Buenos Aires,71.68,23.97,4246425,5184.0,585729.0,2595485.0,885613.0,120228.0,64554.0,56.26,37193.0,31149.0,1108940.0,248153.0,141383.0,192797.0,2482266.0,9728.0,4251609.0
2021,3,Capital Federal,111.27,45.9,1411797,1608.0,142902.0,1192107.0,42966.0,6059.0,29371.0,77.71,295.0,603.0,156978.0,67013.0,39785.0,73502.0,1075229.0,0.0,1413405.0
2021,3,Catamarca,52.71,13.41,56253,1.0,18413.0,11709.0,22331.0,1568.0,2233.0,43.43,71.0,0.0,6755.0,8428.0,10517.0,1659.0,26618.0,2206.0,56254.0
2021,3,Chaco,42.96,11.48,139868,3.0,38258.0,63659.0,27583.0,8018.0,2353.0,39.11,301.0,112.0,22545.0,20986.0,23852.0,14412.0,49705.0,7958.0,139871.0
2021,3,Chubut,80.71,24.74,155266,800.0,49269.0,55794.0,8946.0,23376.0,18681.0,8.18,104.0,105.0,89168.0,26281.0,18538.0,5320.0,1643.0,14907.0,156066.0
2021,3,Córdoba,81.28,24.89,946726,62.0,229275.0,477223.0,167495.0,57617.0,15178.0,41.93,99.0,2452.0,204989.0,141285.0,65050.0,47198.0,476459.0,9256.0,946788.0
2021,3,Corrientes,44.9,11.82,133816,3.0,44805.0,69403.0,7542.0,6766.0,5303.0,32.17,67.0,645.0,29629.0,28478.0,24792.0,9687.0,35468.0,5053.0,133819.0
2021,3,Entre Ríos,62.18,18.59,260360,15.0,74443.0,128752.0,20485.0,23500.0,13195.0,29.6,107.0,3024.0,61354.0,59776.0,39114.0,16284.0,67961.0,12755.0,260375.0
2021,3,Formosa,33.96,8.64,52795,0.0,18093.0,14111.0,4730.0,15690.0,171.0,26.69,381.0,0.0,22778.0,7142.0,6978.0,1192.0,12707.0,1617.0,52795.0
2021,3,Jujuy,55.69,14.24,111158,0.0,23554.0,60758.0,19926.0,2952.0,3968.0,25.98,48.0,175.0,23884.0,16417.0,37755.0,561.0,29917.0,2401.0,111158.0
